n_components,knn_neighbors,knn_score
87,3,0.6444444444444445
87,4,0.5111111111111111
87,5,0.4444444444444444
87,6,0.4222222222222222
88,1,0.8
88,2,0.7111111111111111
88,3,0.6888888888888889
88,4,0.5333333333333333
88,5,0.4666666666666667
88,6,0.4
89,1,0.7555555555555555
89,2,0.6888888888888889
89,3,0.6666666666666666
89,4,0.5333333333333333
89,5,0.4666666666666667
89,6,0.4222222222222222
90,1,0.7777777777777778
90,2,0.6888888888888889
90,3,0.6
90,4,0.5333333333333333
90,5,0.4666666666666667
90,6,0.35555555555555557
91,1,0.7777777777777778
91,2,0.6666666666666666
91,3,0.6
91,4,0.5111111111111111
91,5,0.4888888888888889
91,6,0.3333333333333333
92,1,0.7111111111111111
92,2,0.6222222222222222
92,3,0.6222222222222222
92,4,0.5333333333333333
92,5,0.4666666666666667
92,6,0.37777777777777777
93,1,0.7333333333333333
93,2,0.6666666666666666
93,3,0.6222222222222222
93,4,0.5333333333333333
93,5,0.4222222222222222
93,6,0.37777777777777777
94,1,0.7555555555555555
94,2,0.7111111111111111
94,3,0.6444444444444445
94,4,0.5333333333333333
94,5,0.4444444444444444
94,6,0.4
95,1,0.8
95,2,0.7111111111111111
95,3,0.6888888888888889
95,4,0.5333333333333333
95,5,0.4
95,6,0.4222222222222222
96,1,0.7555555555555555
96,2,0.6666666666666666
96,3,0.6666666666666666
96,4,0.5333333333333333
96,5,0.4
96,6,0.4222222222222222
97,1,0.8
97,2,0.6666666666666666
97,3,0.6222222222222222
97,4,0.5555555555555556
97,5,0.5111111111111111
97,6,0.4888888888888889
98,1,0.7777777777777778
98,2,0.6666666666666666
98,3,0.6222222222222222
98,4,0.5111111111111111
98,5,0.5111111111111111
98,6,0.5111111111111111
99,1,0.8
99,2,0.6888888888888889
99,3,0.6
99,4,0.4666666666666667
99,5,0.4666666666666667
99,6,0.4444444444444444
100,1,0.7555555555555555
100,2,0.6666666666666666
100,3,0.6
100,4,0.4444444444444444
100,5,0.4666666666666667
100,6,0.5111111111111111
101,1,0.7777777777777778
101,2,0.6222222222222222
101,3,0.5777777777777777
101,4,0.5111111111111111
101,5,0.4666666666666667
101,6,0.5555555555555556
102,1,0.7777777777777778
102,2,0.5555555555555556
102,3,0.5111111111111111
102,4,0.4
102,5,0.4444444444444444
102,6,0.5111111111111111
103,1,0.7333333333333333
103,2,0.6
103,3,0.5777777777777777
103,4,0.4888888888888889
103,5,0.4444444444444444
103,6,0.5111111111111111
104,1,0.7111111111111111
104,2,0.6
104,3,0.6
104,4,0.5333333333333333
104,5,0.4888888888888889
104,6,0.5111111111111111
105,1,0.7555555555555555
105,2,0.7111111111111111
